IID,prs_basal_metabolic_rate,prs_power_potential,prs_stress_fracture_risk,prs_total_protein,prs_englyst_dietary_fibre,prs_savoury_snack_consumers,prs_overall_bone_mineral_density,prs_reduced_heart_beat_response_to_exercise,prs_endurance,prs_aversion_to_exercise,prs_total_fattty_acids,prs_potential_for_lean_body_mass
USER,-1.63354184e-05,-1.78278708e-05,-0.0005496737,-0.000125169464,7.86642059e-05,-8.82269236e-05,0.000172152564,0.000404748386,-1.92340508e-06,-0.000152005255,-0.000113292881,-8.84467059e-06
8072.23andme,-1.4686599e-05,-1.99483674e-05,-0.000533865143,-0.000107850208,5.66560344e-05,-9.15383227e-05,7.17350222e-05,0.000392271978,-4.92950126e-06,-0.000131734156,-0.000127579122,-6.76437085e-06
8389.23andme,-1.39063303e-05,-1.87855548e-05,-0.000569346044,-0.000102964377,8.84058539e-05,-9.81131444e-05,5.10936133e-05,0.000406690231,1.21269107e-06,-0.000148266016,-0.000135356149,-6.37343038e-06
9062.23andme,-1.53445339e-05,-1.94802245e-05,-0.000569702324,-0.000119031674,6.25871014e-05,-9.73844796e-05,7.13987581e-05,0.00041318844,-2.04661863e-06,-0.000151137811,-0.000132683323,-5.99579332e-06
9369.23andme,-1.94638105e-05,-2.03074278e-05,-0.000519989843,-0.000119875303,7.65023274e-05,-9.40480782e-05,5.68913629e-05,0.000374046505,7.98806193e-07,-0.000149775278,-7.80876529e-05,-1.15728348e-05
9371.23andme,-1.75990596e-05,-1.68171335e-05,-0.000545104132,-0.000117858721,9.80780482e-05,-8.45531992e-05,9.4381148e-05,0.000414850452,-4.0061122e-06,-0.000142166471,-9.50676566e-05,-9.19483263e-06
9372.23andme,-1.01449116e-05,-1.89733259e-05,-0.000588439724,-0.000104056436,5.19766219e-05,-8.78292304e-05,7.94289829e-06,0.000402016455,-1.66115284e-06,-0.000154435067,-0.000175669239,-5.13214299e-07
9380.23andme,-1.97910005e-05,-1.40268858e-05,-0.000580557071,-9.73323302e-05,7.4418068e-05,-9.6194479e-05,1.71878074e-05,0.000400830201,-1.85872255e-06,-0.000147156372,-0.0001828158,-9.48468912e-06
9383.23andme,-1.60359148e-05,-1.82494556e-05,-0.000547596017,-0.000116157942,7.47882934e-05,-8.31485183e-05,7.79180523e-05,0.000390968905,-5.25164982e-06,-0.000145243312,-6.06723567e-05,-1.0105734e-05
9384.23andme,-2.06453937e-05,-1.46313761e-05,-0.000567561799,-0.0001232834,7.62084604e-05,-9.0779757e-05,5.33358941e-05,0.000406186902,3.08187699e-06,-0.000139548925,-9.10080238e-05,-1.09983478e-05
